id,qid1,qid2,question1,question2,is_duplicate
1359,2707,2708,"If you mother left you as a child but you stayed with your dad, what's the best way to find her?","What is the best answer to ""if you cant take care of my daughter, then why are you with her?""? Mind you, its coming from a sarcastic mother.",0
1360,2709,2710,What is the scope for a PHP developer in India? What are the MNC companies hiring PHP developers?,Which are the MNC companies for PHP in India?,0
1361,2711,2712,What is the best method of losing weight?,What are the best way of loose the weight?,1
1362,2713,2714,How do you get noticed?,How can I get noticed in Bollywood?,0
1363,2715,2716,How can I learn node.js in a week?,What is the best way of learning Node.js?,0
1364,2717,2718,What has been one of the best decisions of your life?,What has been the best decision you've made in your life?,1
1365,2719,2720,Should we trust our political leaders?,Should we take into account what others say or trust only our mind?,0
1366,2721,2722,Is Bashar Al Assad a psychopath?,Where does Bashar Al Assad live?,0
1367,2723,2724,I am a Portuguese national and I want to move to Norway. Is it possible?,"I am 22 (working),I want to be cricketer because I enjoy cricket. Is it still possible for me to join cricket academy and get into national squad?",0
1368,2725,2726,"What is it like teaching at universities in Abu Dhabi for Expats (Masdar, Khalifa, Petroleum inst)?",What is the reason for Abu Dhabi (or the Sheikh) to build Masdar City?,0
1369,2727,2728,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Martinique for the first time?,What are good gifts for a foreign visitor to bring when they're invited to someone's home in Pakistan for the first time?,0
1370,2729,2730,Should India buy some lands from Nepal in order to widen Siliguri Corridor to get easy access to northeast India?,Can Indian government swap some land area with Bangladesh so that the Chicken's neck corridor can be widened to 100+ kilometers?,0
1371,2731,2732,What are constant objects in C++?,What is constants in C?,0
1372,2733,2734,How do you measure the IQ of a cat?,How can you measure your IQ for free?,0
1373,2735,2736,A cab's flat rate is $6 at $0.75 per mile. How many miles could you travel if you only have $20 to spend?,Suppose you paddle a canoe at a steady speed of 4 miles per hour. You go 6 miles downstream & upstream. What is the speed of the current?,0
1374,2737,2738,What type of government does Turkey have? How does it compare to the one in Wales?,What type of government does Turkey have? How does it compare to the one in Poland?,0
1375,2739,1071,"What is the most interesting fact that I know, but you don't, but I shouldn't?",What is the most interesting fact that most people don't know about?,1
1376,2740,2741,Does Mexico have a wall on its southern border?,Is it feasible to build a wall between the US and Mexico as Donald Trump claims he would do?,0
1377,2742,2743,What is unusual or different about the food and cuisine in Sudan?,What is unusual or different about the food and cuisine in Pakistan?,0
1378,2744,2745,What are some core electronics companies in Pune where I can intern?,What companies are doing core electronics work in Pune?,0
1379,2746,2747,What is a company to invest in vietnam?,How do I get investment for a business in Vietnam?,0
1380,2748,2749,"What was it like seeing a person of another race for the first time, unexpectedly?",Do we have any first-hand accounts of people from the past seeing a person of another race for the first time in their lives? How do they react?,1
1381,2750,2751,What is Himalayan pink salt? Why is it better?,"What Himalayan salt is the best, and why?",0
1382,2752,2753,Which South American country is cheap to live?,Which South American country is cheap to travel for a tourist?,0
1383,2754,2755,"Should the US have a ""None of the above"" option for Presidential elections?","Should voters be given a ""None Of The Above"" choice?",0
1384,2756,2757,"If God created the world, who created God?","Who created the ""GOD""?",1
1385,2758,2759,what can i do to become fair?,How can I become more white?,1
1386,2760,2761,Irrespective of cost which parker fountain pen is the best in looks and writing?,How does a fountain pen work?,0
1387,2762,2763,"In a turbine, why is the final enthalpy (of the working substance) in an actual process greater than that of an isentropic process?","In a turbine, why is the final entropy in an actual process greater than that of an isentropic process?",0
1388,2764,2765,Why did Arnab Goswami quitted from Times Now?,Why did Arnab Goswami resign as the Editor-in-Chief of Times Now?,1
1389,2766,2767,What's the best why to start up a cafe?,What are requirements I would need to start my own cafe?,1
1390,2768,2769,Things to do in Hyderabad?,What are the cool adventurous things to do in Hyderabad?,1
1391,2770,2771,Does the Sony Xperia Z5 white sides scratch easily?,Does a Sony Xperia Z5 have a Gorilla Glass or Dragontrail on its front screen and back?,0
1392,2772,2773,What are the best apps for increasing vocabulary?,What is the best Android app for advanced English learners to improve their vocabulary and grammar?,0
1393,2774,2775,Is downloading iTunes music onto a flashdrive illegal?,Where is my downloaded iTunes music on my iPad?,0
1394,2776,2777,Who invented the middle finger bad gesture? How was it invented?,Who invented the middle finger bad gesture?,1
1395,2778,2779,How can you calculate ionic and ionic net equations?,How do you get the net ionic equation for HCO3+H2O?,0
1396,2780,2781,What are the best gifts to give a girlfriend in India?,What are the best gifts to send to a girlfriend?,0
1397,2782,2783,"Is it correct to say ""please let me know if you need help"" or must I use ""whether""?","If I want to say, ""let me know if you can try something and finish doing it"", is it correct to say ""let me know if you could try it""?",0
1398,2784,2785,Are there any Republicans voting for Hillary Clinton?,Are there any other republicans (here) who voted for Hillary Clinton?,1
1399,2786,2787,What physiological tricks are useful to know?,What psychology hacks are useful to know?,1
1400,2788,2789,What is purpose of registering with dogs such as a Maltipoo at the AKC?,How can you register a Maltipoo at the AKC?,1
1401,2790,2791,What is your most embarrassing moment in public?,What has been your most embarrassing moment in front of a stranger?,1
1402,2792,2793,What's the coolest thing you can do with a computer?,What are the coolest things you can do on a computer?,1
1403,2794,2795,"Why don't we use conveyor belts to shorten airport runways? If this idea is new, does that mean it should at least be named after me, if not patented?",How likely is that the US or Russia will elect someone insane enough to start a nuclear war (excluding Donald Trump)?,0
1404,2796,2797,How can I prepare for GATE without coaching?,How did you prepare for the GATE without any coaching?,1
1405,2798,2799,Where is travencore state in India?,What is state in constitution of India?,0
1406,2800,2801,"What does the Tagalog word ""salamat"" mean in English?",Tagalog: What does salamat po mean in English?,0
1407,2802,2803,What should be done to get rid of dandruff?,How do I get rid of severe dandruff?,1
1408,2804,2805,Can anybody help me with Compare and contrast Haroun and Rashid character from story Haroun and the Sea of stories?,I want to study biotechnology abroad what do I have to do?,0
1409,2806,2807,Why did Infosys reject a mass number of candidates from the 2014 passed out batches?,When is the next batch of Infosys after 9 Jan 2016?,0
1410,2808,2809,Would Donald Trump be the worst president in US history?,Is Donald trump going to be the worst president?,1
1411,2810,2811,Has anyone ever had their RFID passport hacked and their identity stolen?,How are stolen passports used?,0
1412,2812,2813,Is ethics bullshit?,Are ethics bullshit?,1
1413,2814,2815,How much did Ticketfly pay for WillCall?,How much did Microsoft pay for LiveLoop?,0
